num_followers,num_stars,forks,num_followings,username,num_repositories,stars_received
217,21,1359,1,andymccurdy,16,5667
36,0,0,1100,pardome,0,0
0,0,0,1,aman0003,0,0
2,44,0,17,SanyamBhutani,10,0
4,3,0,9,gambani-simran,5,0
3,17,0,5,vishalkumar14,1,0
9,10,0,11,bhavya9107,23,7
2,1,0,1,Ananya6,2,0
2,7,0,1,harshvardhanmalpani,11,0
67,140,0,64,mahnerak,6,4
1,2,0,2,shubh002,3,0
12,27,0,7,aam-at,12,0
0,1,0,6,arjunjamwal,6,0
2,13,1,25,nick1201,16,0
0,25,0,16,guanqj932,0,0
0,0,0,2,RunningWei,1,0
0,3,0,2,ZhenqiangSun,2,1
3,20,0,19,ZVK,17,3
1,24,0,22,nsquare,22,0
0,2,0,18,skaur,1,0
0,0,0,5,AneeshCEN,30,0
1,2,0,3,AaronLu47,0,0
4,4,0,15,lina0309,5,0
4,5,0,10,manuhortet,2,0
8,52,0,57,krisai,24,0
0,2,0,4,gsoni22,4,2
0,0,0,2,khoa-ho,14,0
39,4,9,85,jiajunwu,3,43
9,22,16,3,shuochsu,2,49
0,2,0,9,sachinblessed95,6,0
1,0,2,2,hassanmohsin,2,0
2,1,0,4,chiendo1010,3,1
0,0,0,12,jfkkf123,6,0
4,34,0,62,oaoouo,9,0
2,4,0,2,hamadazahera,6,1
3,7,23,2,jindc,21,16
6,7,1,7,Faustofeles,12,1
0,1,0,2,Jiltseb,0,0
7,8,1,23,KrisYWL,3,0
4,35,0,23,kshitizanand,24,0
0,1,0,2,ddoe777,9,0
5,71,0,13,SaiMun92,24,0
0,0,0,5,aniket7tomar,6,0
0,2,0,9,ainilaha,27,1
0,2,0,1,zhaochengHuang,6,0
1,0,0,6,adpartin,8,0
14,203,0,148,yuanhan1890,2,0
0,7,0,6,flygyyy,26,0
8,80,0,5,stephenra,29,0
2,69,0,12,jjhny2a,0,0
0,2,0,1,Renegade-z,1,0
0,0,0,15,avinashsai,25,0
4,460,0,50,scott-he,24,1
2,171,0,14,jinhyeong,8,0
1,0,0,6,IttratHassan,6,0
0,33,0,5,imMickyQ,8,0
4,11,1,5,bhar-gav,6,1
21,91,1,45,dyllanwli,19,5
6,49,3,40,lukeg101,16,1
2,99,1,18,limacohen,4,5
24,905,3,61,carlbarrdahl,13,52
11,76,11,22,hng,9,90
12,36,3,23,ttuan,17,0
11,227,1,232,passar,6,2
40,1300,28,193,mhuusko5,30,86
16,270,2,34,Volcyy,8,6
12,7,0,576,princealjabri,1,0
2,180,0,17,chintan-sh,23,1
15,48,15,28,00111000,18,182
1,4,0,2,fauzanbaigm,7,1
2,7,0,28,vaishali-raj,1,0
1,1,0,2,hm-jones,0,0
1,22,0,2,yuanmie,15,4
4,8,0,28,ahmedamrzezo,0,0
2,0,0,26,xieshaohui,3,0
8,196,4,2,spaceisstrange,17,11
14,303,1,19,harrygallagher4,11,4
1,0,0,1,VamsiVedula,0,0
2,15,0,3,m-grand,0,0
7,334,2,52,yangyiRunning,19,2
4,24,0,4,Nassafy,7,0
1,0,0,13,Kristen97,1,0
10,153,10,18,rslhdyt,14,20
4,4,0,9,snupt,1,0
3,4,0,7,v7unit,5,0
11,774,5,25,altmer,12,5
2,16,0,20,mingjusamyak,11,0
129,29,1,1300,imandyie,27,17
2,0,0,3,Geeks-X,2,0
60,784,167,86,tschoffelen,27,718
51,1300,0,406,nabilov,12,1
12,716,0,9,MikeGolden,0,0
6,107,0,15,romanrodriguez,29,0
2,0,0,5,edidamanish,4,0
16,981,0,70,yqrashawn,30,4
37,118,40,11,sdwolfe32,11,542
99,15,73,3,Sohl-Dickstein,6,229
2,1,0,5,TusharPardhe,1,1
2,0,1,8,aishanya11,4,1
10,7,1,16,rohit1576,16,1
7,1,9,16,Dipesh-Budhiraja,14,2
11,13,0,10,anshul98ks123,21,1
6,6,0,5,riyapannu7,15,0
4,12,1,13,nimit17,10,4
3,3,2,3,lakshay365,6,2
29,72,7,21,Swapnil52,22,75
13,15,6,19,Nshul,28,9
6,11,1,17,ribhav-pahuja,10,3
9,14,5,18,Kartik2016,12,3
3,0,1,2,CristianMoisei,2,1
124,12,21,9,edolstra,16,74
18,34,4,6,ascandroli,9,11
5,0,2,1,dagware,2,32
85,172,47,103,awalterschulze,20,639
2,0,0,0,thisisraghavkumar,5,1
2,1,1,0,PriyankaSahani,3,0
4,0,1,0,anmol-1602,6,2
4,3,0,2,rattandeep1998,23,4
6,0,3,0,prnvg,10,1
6,3,7,9,pratyush1687,18,2
1,0,0,0,theMADAIguy,2,0
4,154,0,0,cwagner22,12,0
223,61,1,1,dsmilkov,7,7
12,20,0,12,cshier,0,0
259,1,23,0,dutc,21,187
80,38,133,2,ogham,21,3703
193,3,185,0,SergioBenitez,27,3047
2,18,1,2,jonathanng,7,2
5,2,0,17,PrathamNawal,7,3
63,260,127,6,ranaroussi,22,351
290,181,325,81,Swati4star,27,617
0,3,0,1,jsinghvi,7,1
4,17,1,11,yihengz,17,1
0,0,0,1,XXNoel,5,0
251,2,100,1,galaxykate,19,933
0,5,0,7,Anmol-Gulati,10,0
1,0,0,2,dayster,10,0
0,0,0,2,DanielBrito,1,0
0,40,0,22,tryup,13,1
0,1,0,3,coopervk,7,0
0,0,0,2,jeancarlovidela,0,0
1,2,0,4,ykat1,0,0
0,0,0,12,WINGSIGOD,0,0
0,4,0,4,0punk,2,0
0,1,0,33,mbrksntrk,0,0
0,0,0,6,JasdeepSidhu13,23,0
0,1,0,3,DavidTurewicz,9,0
0,0,0,1,Greficsmurf,1,0
11,5,1,27,fengxinhe,16,7
0,11,0,1,dmtrge,7,0
0,2,0,12,nakini,4,0
1,0,0,4,utkarshrs,4,0
1,3,0,2,GZCL,6,0
5,93,0,16,mark-walle,30,0
4,2,3,3,jrnp97,14,0
4,17,22,15,sunilsj99,30,3
2,1,0,4,danirlcr10,3,0
1,22,0,12,jiqing9006,1,0
1,4,0,31,bobbyac01,2,0
9,2,3,11,jambroo,29,2
1,0,0,2,chenqiankun1998,0,0
1,0,0,11,diegoferreirax,5,0
0,0,0,4,Niceww,0,0
0,2,0,1,diegonevesfaria,3,0
18,102,0,3,azanelli,6,4
0,0,0,1,abhishekchaturvedi1995,3,0
1,0,0,6,Silvered99,13,0
0,0,0,1,18623555584,2,0
0,7,0,2,rodrigohd7,4,0
0,3,0,2,0263tan,7,0
1,0,0,11,sujonbd,1,0
1,0,0,2,mridpin,5,1
2,8,2,2,Alok-Rajawat,11,0
0,68,0,3,btsomogyi,10,0
18,10,17,5,juhahinkula,26,9
1,0,0,4,dassimoes,1,0
2,8,0,7,adsonpinheiro92,7,0
0,0,0,2,siyemuxu888,3,0
0,0,0,2,phlefort,2,0
2,13,0,4,asdvd01,21,10
15,408,0,96,ravigarg27,19,1
12,258,0,70,calufa,2,0
1,0,0,7,sumhncku,0,0
2,0,0,477,calufoide,0,0
92,1700,12,217,faizankshaikh,30,13
165,16200,12,5400,fly51fly,2,9
0,6,0,5,kakshay21,28,0
12,701,0,136,aowal,22,1
1,40,0,59,riyadhbd,18,0
38,274,6,42,azmfaridee,27,9
0,1,0,2,anishmadan23,4,0
1,1,0,27,SherShahSuri,25,0
372,73,1,21,jheer,11,6
40,9,10,56,tanya-vedi,27,2
16,14,2,27,Anushka-M,22,0
0,2,0,6,akshaybengani,9,0
1,0,0,6,bansalraghav,7,0
6,3,2,21,Vaibhav1671998,21,0
2,0,0,13,Martialhimanshu,12,0
10,76,1,66,ashubly25,17,0
0,0,0,3,Harsh62Chopra,3,0
14,7,0,20,nikhil16-bhaskar,11,5
4,0,3,8,ganshul34,8,0
9,3,1,10,mohit472,7,0
14,4,3,21,harsimarsingh8,18,12
